Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Planned Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Street Address,Recipient Org:City,Recipient Org:County,Recipient Org:Country,Recipient Org:Postal Code,Recipient Org:Description,Recipient Org:Web Address,Funding Org:Identifier,Funding Org:Name,Grant Programme:Title,Grant Programme:URL,From an open call?,Last modified,Data Source
360G-landaid-2014151,Regeneration of iconic church,"Part funding of Carlisle Memorial Church Regeneration Phase 1, internal renovation works to help establish a hospitality training academy for local unemployed young people",GBP,150000,100000,100000,2015-02-24,,2014-01-11,2015-01-06,13,GB-NIC-XR16403,Belfast Building Trust,XR16403,,The Gate Lodge,Belfast,Antrim,UK,BT7 3GS,"Belfast Buildings Trust delivers physical, social, and economic regeneration through the reuse of Belfast's historic buildings. It is a cross-community charity founded in 1996. It works with local communities to evolve sustainable solutions for sometimes difficult buildings that maximise both financial and social outcomes.",http://www.belfastbuildingstrust.org,GB-CHC-295157,LandAid Charitable Trust,Open Grants round 2014/15,,Yes,,
360G-landaid-2014152,Surveyor apprenticeship,Towards the apprenticeship programme providing opportunities for young people from deprived areas or those who face personal disadvantage to become qualified surveyors and gain employment,GBP,25984,25984,25984,2014-09-23,,2015-02-18,2016-01-31,12,GB-CHC-327456,Chartered Surveyors Training Trust,327456,,"6-8 Gunnery Terrace,The Royal Arsenal",London,London,UK,SE18 6SW,The Chartered Surveyors Training Trust provides 16 to 24 year olds with the life changing opportunity of a debt free and tutor supported surveying apprenticeship.,http://www.cstt.org.uk/,GB-CHC-295157,LandAid Charitable Trust,Project Sponsorship 2014/15,,No,,
360G-landaid-2014153,Conversion of farmhouse,Towards the conversion of a farmhouse to become the third premises for the charity's respite breaks for young carers,GBP,116000,116000,116000,2015-02-24,,2015-05-01,2015-12-31,8,GB-CHC-1080953,CHICKS (Country Holidays for Inner City Kids),1080953,,Moorland Retreat,Tavistock,Devon,UK,PL19 0LX,CHICKS is a national charity which provides hope and happiness to children who have little. The principle objective of the charity is to provide respite breaks and residential courses for children who are disadvantaged by their necessitous economic circumstances who would otherwise not have a holiday or the educational opportunities provided by the charity.,http://www.chicks.org.uk,GB-CHC-295157,LandAid Charitable Trust,Open Grants round 2014/15,,Yes,,
360G-landaid-2014154,Fit out costs for training shop,Towards the final fit out of the new Dalston Hackney shop which is used for work experience and training for an employability course,GBP,10000,10000,10000,2014-05-20,,2014-01-10,2015-01-09,13,GB-CHC-1145291,Circle Sports,1145291,,"99 Church Street,102 Foundry House",London,London,UK,NW8 8EY,"Circle Sports helps young people not in employment, education or training obtain work through its 10 week training and work experience programme. Their intense yet supportive programme, focused on one to one delivery and practical experience days with leading companies, results in over 80% of participants gaining permanent employment.",http://www.circlesports.org,GB-CHC-295157,LandAid Charitable Trust,Project Sponsorship 2014/15,,No,,
360G-landaid-2014155,Contribution to youth engagement sports club,Towards FRE Flyers Multisports Club programme outreaching to young people in disadvantaged areas,GBP,20000,20000,20000,2014-12-09,,2014-12-15,2015-11-30,12,GB-CHC-1018517,Community Links,1018517,,"105 Barking Road,Canning Town",London,London,UK,E16 4HQ,"Community Links has been working to tackle poverty and social exclusion in Newham for 35 years. Through a network of practical community projects they support c.16,000 disadvantaged people each year, helping them to build their own ladders out of poverty and towards a brighter future.",http://www.community-links.org,GB-CHC-295157,LandAid Charitable Trust,Project Sponsorship 2014/15,,No,,
360G-landaid-2014156,Building costs for a creative therapy room,"For the Youth Zone in the Creative Pears Pavilion to support young people over 14 in Creative Therapy, as well as wider advocacy, education and enterprise engagement activities, enabling them to overcome trauma of the past and the challenges they face in everyday life as a result.",GBP,60000,50000,50000,2014-05-20,,2014-01-08,2015-03-01,15,GB-CHC-312278,Coram,312278,,"Coram Campus,41 Brunswick Square",London,London,UK,WC1N 1AZ,"Coram is the specialist national leader in creative therapy, providing direct support through art, music and drama to enable young people who have experienced abuse, neglect and social communication difficulties to recover from their experiences for provide the building blocks for a successful future. Coram today reaches more than one million children and young people a year and strives to provide system impact from its work and evidence as a national centre of excellence.",http://www.coram.org.uk,GB-CHC-295157,LandAid Charitable Trust,Open Grants round 2014/15,,Yes,,
360G-landaid-2014157,Conversion to create a youth centre's new premises,"Conversion of a large basement in Fitzrovia, central London, to create new youth centre premises, enabling more young people to participate in education and sports activities.",GBP,100000,100000,100000,2014-12-09,,2015-03-01,2015-08-01,6,GB-CHC-1136697,Fitzrovia Youth in Action,1136697,,"Basement, 66-68 Warren Street",London,London,UK,W1T 5NZ,"Fitzrovia Youth in Action (FYA) works with young people in Central London. The objectives are to help children and young people to: feel a part of their community, increase their aspirations and develop the skills to employment, further education, or training.",http://www.fya.org.uk,GB-CHC-295157,LandAid Charitable Trust,Open Grants round 2014/15,,Yes,,
360G-landaid-2014158,Refurbishment of youth homeless hostel,"Repeat grant to fund new bathrooms, kitchens and communal areas at Four Square's Stopover hostel for young people at risk of homelessness in Edinburgh.",GBP,60000,30000,30000,2014-02-11,http://www.landaid.org/what-we-do/projects/four-square,2015-01-02,2016-01-04,13,GB-SC-017242,Four Square (Scotland),SC017242,,67a Logie Green Road,Edinburgh,Edinburgh,UK,EH7 4HF,Four Square aims to prevent homelessness and promote social and economic inclusion by providing emergency and longer term accommodation and opportunities to develop the necessary skills to thrive in the community.,http://www.foursquare.org.uk,GB-CHC-295157,LandAid Charitable Trust,Joint Funding 2014/15,,No,,
360G-landaid-2014159,Extension and renovation of youth centre,"Repeat funding towards the extension and renovation of a youth centre in Glasgow's East End, bringing unused spaces into use and improving energy efficiency and external appearance. To enable Fuse to increase their support capacity and to operate throughout the day and evening.",GBP,30000,30000,30000,2014-02-11,,2014-09-30,2015-06-09,9,GB-SC-037434,Fuse Youth Cafe Glasgow,SC037434,,1567-73 Shettleston Road,Glasgow,Glasgow,UK,G32 9AS,"Fuse Youth Caf‚ is a drop in centre for at risk 10 to 25 year olds based in a renovated pub in Shettleston in the East End of Glasgow. Youth workers and volunteers offer an experience which considers every young person as an individual with unique potential. Fuse is a hub for volunteers, government and other organisations to reach young people, to tackle the socio-economic issues and end 'generational' predeterminations.",http://www.fuseyouthcafe.co.uk,GB-CHC-295157,LandAid Charitable Trust,Joint Funding 2014/15,,No,,
360G-landaid-20141610,Renovation and conversion of farm buildings,"Repeat funding of renovation to create a second Jamie's Farm site in Herefordshire, including the provision of accommodation for 12 young people and the conversion of a barn which will be the main communal space with a kitchen and mezzanine to accommodate 50 people for meals and theuraputic sessions.",GBP,160000,45000,45000,2014-02-11,,2014-11-10,2016-05-02,19,GB-CHC-1129544,Jamie's Farm,1129544,,Hill House Farm Ditteridge Box,Corsham,Wiltshire,UK,SN13 8QA,"Jamie's Farm runs short stay residential and follow up programmes for disadvantaged 8 to 18 year olds from urban areas. They work closely with teachers and help young people in education, at home and in the community through a combination of family, farming and therapy that acts as a catalyst for young people to make positive improvements.",http://www.jamiesfarm.org.uk,GB-CHC-295157,LandAid Charitable Trust,Joint Funding 2014/15,,No,,
