Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Planned Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Street Address,Recipient Org:City,Recipient Org:County,Recipient Org:Country,Recipient Org:Postal Code,Recipient Org:Description,Recipient Org:Web Address,Beneficiary Location:Name,Beneficiary Location:Country Code,Beneficiary Location:Latitude,Beneficiary Location:Longitude,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Funding Org:Identifier,Funding Org:Name,Funding Org:Department,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,From an open call?,Related Activity,Last modified,Data Source
360G-landaid-2015161,Surveyor apprenticeship,Towards the apprenticeship programme providing opportunities for young people from deprived areas or those who face personal disadvantage to become qualified surveyors and gain employment,GBP,36819,36819,36819,2015-09-07,,2016-02-22,2017-01-31,12,GB-CHC-327456,Chartered Surveyors Training Trust,327456,,6-8 Gunnery Terrace ,London,London,UK,SE18 6SW,The Chartered Surveyors Training Trust provides 16 to 24 year olds with the life changing opportunity of a debt free and tutor supported surveying apprenticeship.,http://www.cstt.org.uk/,,,,,,,GB-CHC-295157,LandAid Charitable Trust, ,,Project Sponsorship 2015/16,,No,,,http://www.landaid.org
360G-landaid-2015162,Conversion to create new spaces and services for victims of domestic violence ,"Conversion of a disused convent in Derry-Londonderry to create FWA ' One Safe Place' premises. Includes conversion of an old laundry into a courtyard caf? for FWA 'Teenlink' programme, which provides counselling and support to 12 to 21 year olds who have been victims of domestic violence.",GBP,150000,75000,75000,2015-05-19,,2017-04-01,2018-10-01,18,GB-COH-NI23041,Foyle Women's Aid,XN48783/BT,,"Pathways, 24 Pump Street",Derry - Londonderry,Northern Ireland,UK,BT48 6JG,"Foyle Women's Aid (FWA) supports children, young people and women who have been victims or witnesses of domestic violence, and helps them through points of crisis in their lives. Each year FWA provides support for over 800 children and young people.",http://www.foylewomensaid.org,,,,,,,GB-CHC-295157,LandAid Charitable Trust, ,,Open Grants round 2015/16,,Yes,,,http://www.landaid.org
360G-landaid-2015163,Development grant towards new building for youth centre,"Contribution to the design and development of the W4 Youth and Community new build project in Ealing, London.",GBP,150000,20000,20000,2015-05-19,,2016-03-21,2017-03-01,12,GB-CHC-1141209,W4 Youth,1141209,,W4 Youth,London,South East,UK,W4 5AS,"W4 Youth Club hosts over 250 members in the area coming from Acton, Ealing, Shepherd's Bush, Hammersmith and elsewhere joining in dance, drama, singing and a traditional open-access youth club particularly aimed at under priviledged young people",http://www.w4youth@yahoo.co.uk,,,,,,,GB-CHC-295157,LandAid Charitable Trust, ,,Open Grants round 2015/16,,Yes,,,http://www.landaid.org
360G-landaid-2015164,Renovation of 3 empty properties and salary,Towards the renovation costs of 3 houses located in Leeds for semi-independent accommodation for young people at risk of homelessness. Incl contribution to salary costs for coordinating volunteers and training unemployed people during the building work.,GBP,80000,80000,80000,2016-01-19,http://www.landaid.org/what-we-do/projects/canopy-housing,2016-04-07,2017-01-02,9,GB-MPR-28655R,Canopy Housing, ,28655R,114 Lady Pit Lane,Leeds,Yorkshire and the Humber,UK,LS11 6EE,"Canopy renovates long term empty houses to create good quality, affordably warm homes for people who are homeless or in housing need. Their self-help model sees future tenants work with local volunteers to renovate their future home. The houses are acquired on long leases from the local authority, or bought outright.",http://www.canopyhousing.org/,,,,,,,GB-CHC-295157,LandAid Charitable Trust, ,,Empty Properties Grants round 2015/16,,Yes,,,http://www.landaid.org
360G-landaid-2015165,Renovation of 2 empty properties and salary,Towards the refurbishment of two empty properties in Middlesbrough and Stockton for semi-independent accommodation for young people at risk of homelessness. Incl salary costs for construction training and  community outreach. ,GBP,140000,75000,75000,2016-01-19,http://www.landaid.org/what-we-do/projects/community-campus-87,2016-03-07,2017-03-06,12,GB-MPR-26020R,Community Campus 87 Ltd, ,26020R,76 Brunswick Street,"Middlesbrough, Stockton-on-tees",North East,UK,TS18 1UU,Community Campus is a community based organisation providing housing and support to young homeless people and other economically and socially excluded people to improve their lives,http://www.cc87.co.uk,,,,,,,GB-CHC-295157,LandAid Charitable Trust, ,,Empty Properties Grants round 2015/16,,Yes,,,http://www.landaid.org
360G-landaid-2015166,Development grant towards new building for youth centre,"Contribution to design and development costs of a new building: the Newhaven Youth Centre. The project includes innovative and sustainable elements, and is a collaborative community effort to design and build a facility to meet the needs of local disadvantaged young people.",GBP,124200,20000,20000,2015-11-24,,2016-07-18,2016-06-01,11,GB-CHC-1094905,Sussex Community Development Association (SCDA),1094905,,Denton Island Community Centre,Newhaven,South East,UK,BN9 9BA,"Sussex Community Development Association is a community regeneration charity started initially in Newhaven and now working across East Sussex. SCDA deliver integrated services to meet the needs of the hardest to reach and helping communities to help themselves across the areas of health and well-being, employability, advice and inclusion and community development. ",http://www.ncda.org.uk/,,,,,,,GB-CHC-295157,LandAid Charitable Trust, ,,Open Grants round 2015/16,,Yes,,,http://www.landaid.org
360G-landaid-2015167,Roof and window repairs to youth centre,"Replacing the windows and fitting a new roof to make The Barn Youth Centre in the Gorbals, Glasgow weathertight and functional.",GBP,92400,55500,55500,2015-11-24,,2016-09-05,2016-10-31,2,GB-SC-006859,Crossroads Youth and Community Association,SC006859,,The Barn Youth Centre,Glasgow,Scotland,UK,G5 9QS,"Crossroads is a small but well respected charity working within an area of multiple deprivation in the South East of Glasgow. There are three constituent parts to the organisation; youth work, community work and an asset based community project called Link up. ",http://www.cyca.org.uk,,,,,,,GB-CHC-295157,LandAid Charitable Trust, ,,Open Grants round 2015/16,,Yes,,,http://www.landaid.org
360G-landaid-2015168,Conversion to create supported accommodation and salary,Conversion of a disused council office in Rotherham into 24 hour supported accommodation for young people in crisis with multiple needs. On-site construction training opportunities.,GBP,150000,150000,150000,2016-01-19,http://www.landaid.org/what-we-do/projects/action-housing,2016-03-01,2016-09-26,6,GB-CHC-511265,Action Housing,511265,,"6 Genesis Business Park,",Rotherham,Yorkshire and the Humber,UK,S60 1DX,"Action exists to give hope, opportunities and improve life chances for vulnerable and disadvantaged people. Action works with individuals, families and communities to enhance their skills, knowledge, confidence and opportunities in order to address the barriers and inequalities that prevent them from thriving.",http://www.actionorg.uk/,,,,,,,GB-CHC-295157,LandAid Charitable Trust, ,,Empty Properties Grants round 2015/16,,Yes,,,http://www.landaid.org
360G-landaid-2015169,Renovation to expand mental health support services,Renovation of an adjacent disused 3-storey former shop to extend premises to enable the charity to meet demand and work with a larger number of young people experiencing mental health problems.,GBP,120000,100000,100000,2015-02-24,http://www.landaid.org/what-we-do/projects/42nd-street-0,2015-10-01,2016-11-11,13,GB-CHC-702687,42nd Street,702687,,"The Space, 87-91 Great Ancoats Street",Manchester,North West,UK,M4 5AG,"42nd Street is a young people's mental health charity with a 30 year track record of providing services and opportunities across Manchester, Salford and Trafford to young people (11-25 years) under stress ",http://www.42ndstreet.org.uk,,,,,,,GB-CHC-295157,LandAid Charitable Trust, ,,Open Grants round 2015/16,,Yes,,,http://www.landaid.org
360G-landaid-201517610,Refurbishment of 4 empty properties,"Refurbishment four empty houses in four different cities (Wolverhampton, Peterborough, Ipswich and Norwich). These will house a total of between 16 and 20 young people who are homeless or at risk of homelessness.",GBP,1137686,72000,72000,2016-03-08,http://www.landaid.org/what-we-do/projects/hope-action,2016-08-01,2017-02-01,6,GB-CHC-1137686,Hope into Action,1137686,,26 North Street,"Wolverhampton, Norwich, Ipswich, Peterborough tbc",East of England,UK,PE1 2RA,"Hope into Action's vision is to see a home for the homeless in every community. Each home in partnership with the church. Our 10 year vision statement is to be in 20 towns by 2020. We aim for the homeless to experience a safe, secure home and love from volunteers from the local community. ",http://www.hopeintoaction.org.uk,,,,,,,GB-CHC-295157,LandAid Charitable Trust, ,,Empty Properties Grants round 2015/16,,Yes,,,http://www.landaid.org
